groupcode,groupname,sex,count
1,0-4 ปี,female,817600
1,0-4 ปี,male,873482
3,5-9 ปี,female,1130316
3,5-9 ปี,male,1205839
4,10-14 ปี,female,1399754
4,10-14 ปี,male,1493344
5,15-19 ปี,female,1474619
5,15-19 ปี,male,1561380
6,20-24 ปี,female,1401467
6,20-24 ปี,male,1496937
7,25-29 ปี,female,1421767
7,25-29 ปี,male,1490815
8,30-34 ปี,female,1288662
8,30-34 ปี,male,1333622
9,35-39 ปี,female,1258493
9,35-39 ปี,male,1288495
10,40-44 ปี,female,1415286
10,40-44 ปี,male,1393815
11,45-49 ปี,female,1598729
11,45-49 ปี,male,1485553
12,50-54 ปี,female,1780046
12,50-54 ปี,male,1577255
13,55-59 ปี,female,1788958
13,55-59 ปี,male,1549592
14,60-64 ปี,female,1578750
14,60-64 ปี,male,1344221
15,65-69 ปี,female,1263397
15,65-69 ปี,male,1035495
16,70-74 ปี,female,972041
16,70-74 ปี,male,769392
17,75-79 ปี,female,613103
17,75-79 ปี,male,464456
18,80-84 ปี,female,431391
18,80-84 ปี,male,297817
19,85-89 ปี,female,257748
19,85-89 ปี,male,159095
20,90-94 ปี,female,110489
20,90-94 ปี,male,63816
21,95-99 ปี,female,31189
21,95-99 ปี,male,18711
22,100 ปีขึ้นไป,female,15221
22,100 ปีขึ้นไป,male,12179
